acao,valor_atual,preco_gordon,preco_fluxo,diferenca_gordon,diferenca_fluxo,margem_ebit,variacao_receita,wacc,quantidade_acoes,divida_total,caixa,outros_ativos,passivos_menos_divida,percentual_imposto
VALE3,54.32,51.18,9.08,-0.06,-0.83,0.3858,"{'mean_deflacionada': -0.15327261308803042, 'median_deflacionada': -0.13118454102426236, 'mean_normal': -0.11058034005079498, 'median_normal': -0.08922075435573429}",0.183,4539007568.0,17672000000.0,5006000000.0,48291000000.0,27952000000.0,0.1472
BRKM5,9.3,8.78,-95.43,-0.06,-11.26,0.0037,"{'mean_deflacionada': -0.13031878320814697, 'median_deflacionada': -0.13622332062347475, 'mean_normal': -0.08603829283905311, 'median_normal': -0.08621065088757396}",0.086,796968439.0,73722000000.0,16772000000.0,7256000000.0,32131000000.0,0.3596
GOAU4,9.3,8.62,482.57,-0.07,50.89,0.1766,"{'mean_deflacionada': -0.09285982070964172, 'median_deflacionada': -0.07223264369989069, 'mean_normal': -0.046422578606704214, 'median_normal': -0.027421480390595332}",0.051,999705804.0,14917153000.0,8370848000.0,32076772000.0,13777662000.0,0.2004
USIM5,4.39,4.09,1.22,-0.07,-0.72,0.0931,"{'mean_deflacionada': -0.12791196545145708, 'median_deflacionada': -0.10711528643209112, 'mean_normal': -0.0834483197193407, 'median_normal': -0.06398895476676103}",0.139,1253079108.0,7757953000.0,5953981000.0,3230271000.0,5430149000.0,0.2438
BRKM3,9.77,8.81,-95.34,-0.1,-10.76,0.0037,"{'mean_deflacionada': -0.13031878320814697, 'median_deflacionada': -0.13622332062347475, 'mean_normal': -0.08603829283905311, 'median_normal': -0.08621065088757396}",0.085,796968439.0,73722000000.0,16772000000.0,7256000000.0,32131000000.0,0.3596
BPAN4,7.7,6.67,6.44,-0.13,-0.16,0.0897,"{'mean_deflacionada': 0.08406142305855917, 'median_deflacionada': 0.07856658722096066, 'mean_normal': 0.13944040319881812, 'median_normal': 0.1306613533837333}",0.272,1269070090.0,4980981000.0,0.0,3925344000.0,-4980981000.0,0.1835
BLAU3,12.78,10.78,8.33,-0.16,-0.35,0.3115,"{'mean_deflacionada': 0.04168763365318928, 'median_deflacionada': -0.026712126295491023, 'mean_normal': 0.09446288017091702, 'median_normal': 0.02964124159199999}",0.18,179393939.0,558952000.0,492872000.0,576418000.0,702113000.0,0.2303
INTB3,14.92,12.43,12.59,-0.17,-0.16,0.1279,"{'mean_deflacionada': 0.10943803209237583, 'median_deflacionada': 0.1055961752185326, 'mean_normal': 0.16652237651530688, 'median_normal': 0.15899647048158783}",0.149,327611110.0,941730000.0,888109000.0,819700000.0,1661255000.0,0.0177
FIQE3,3.88,3.17,22.37,-0.18,4.77,0.3139,"{'mean_deflacionada': 0.2506975136258938, 'median_deflacionada': 0.24424568001961933, 'mean_normal': 0.3147161972815238, 'median_normal': 0.3017298304365257}",0.216,362049609.0,651376000.0,447756000.0,1709496000.0,433385000.0,0.1699
BRSR3,12.17,9.64,172.2,-0.21,13.15,0.1614,"{'mean_deflacionada': 0.004612001310198048, 'median_deflacionada': 0.0015305112681469613, 'mean_normal': 0.055452614511053065, 'median_normal': 0.047801220888735285}",0.331,408974477.0,7629950000.0,0.0,66578605000.0,-7629950000.0,0.1517
GOAU3,9.33,7.03,482.57,-0.25,50.72,0.1766,"{'mean_deflacionada': -0.09285982070964172, 'median_deflacionada': -0.07223264369989069, 'mean_normal': -0.046422578606704214, 'median_normal': -0.027421480390595332}",0.051,999705804.0,14917153000.0,8370848000.0,32076772000.0,13777662000.0,0.2004
ALOS3,22.32,16.32,33.2,-0.27,0.49,0.5761,"{'mean_deflacionada': 0.47225065778673336, 'median_deflacionada': 0.12031884268960358, 'mean_normal': 0.5453124180207845, 'median_normal': 0.18518530368133157}",0.133,542936909.0,6824447000.0,3369105000.0,1064162000.0,6329823000.0,0.0495
ALLD3,7.05,5.16,-1.04,-0.27,-1.15,0.0448,"{'mean_deflacionada': -0.05479045494152779, 'median_deflacionada': -0.10041638593789759, 'mean_normal': -0.007197875954925344, 'median_normal': -0.05696649737869808}",0.382,94414109.0,593830000.0,427961000.0,808411000.0,1297423000.0,0.0549
AGRO3,20.54,13.69,11.18,-0.33,-0.46,0.3743,"{'mean_normal': 0.23323418320771924, 'median_normal': -0.12208797318038733}",0.135,102683444.0,1043998000.0,193894000.0,740210000.0,381405000.0,0.1029
NEOE3,25.53,15.71,46.35,-0.38,0.82,0.2131,"{'mean_deflacionada': -0.012257052845754587, 'median_deflacionada': 0.015144592367448473, 'mean_normal': 0.03762101723268826, 'median_normal': 0.062044272534824696}",0.118,1213797248.0,52843000000.0,7826000000.0,20879000000.0,23951000000.0,0.097
CGRA4,28.4,15.92,28.45,-0.44,0.0,0.2025,"{'mean_deflacionada': 0.00868928014569533, 'median_deflacionada': 0.026880374876034008, 'mean_normal': 0.06010876299104798, 'median_normal': 0.07647869698254661}",0.223,20858810.0,145936000.0,207188000.0,172710000.0,254506000.0,0.1175
BMIN4,17.1,9.54,-70.69,-0.44,-5.13,0.2823,"{'mean_deflacionada': 0.23044278650519598, 'median_deflacionada': 0.0413344838259162, 'mean_normal': 0.29501977712926125, 'median_normal': 0.09163093939470812}",2.514,4825200.0,143188000.0,9628000.0,0.0,209032000.0,0.3899
CSUD3,18.59,10.14,19.41,-0.45,0.04,0.2227,"{'mean_deflacionada': -0.015832299348720547, 'median_deflacionada': -0.012218251453447793, 'mean_normal': 0.0342034521880474, 'median_normal': 0.04497431178739775}",0.183,41800000.0,70541000.0,96197000.0,405781000.0,148507000.0,0.2569
AMAR3,1.36,0.75,-0.19,-0.45,-1.14,-0.1004,"{'mean_deflacionada': -0.2114813372154711, 'median_deflacionada': -0.1932277536404472, 'mean_normal': -0.17094073010901167, 'median_normal': -0.15426065414128087}",0.251,513456043.0,639135000.0,92052000.0,493361000.0,980515000.0,0.2763
AFLT3,7.01,3.82,1.47,-0.46,-0.79,0.5461,"{'mean_deflacionada': -0.1074084757615114, 'median_deflacionada': -0.10718122578660028, 'mean_normal': -0.0631097156604028, 'median_normal': -0.06593299841794109}",0.156,63084700.0,30794000.0,7321000.0,1209000.0,59051000.0,0.0934
ELET3,40.13,20.84,66.75,-0.48,0.66,0.3184,"{'mean_deflacionada': 0.0013584767231922996, 'median_deflacionada': 0.03152124885130769, 'mean_normal': 0.05197101933273492, 'median_normal': 0.08134372517082578}",0.162,2307099811.0,78235616000.0,35524360000.0,199824499000.0,89635938000.0,0.0864
LOGG3,20.38,10.37,11.16,-0.49,-0.45,2.5342,"{'mean_deflacionada': 0.09852879640967178, 'median_deflacionada': -0.031285036858082704, 'mean_normal': 0.15530880437077624, 'median_normal': 0.013469594439073695}",0.126,87859154.0,2253242000.0,523595000.0,39746000.0,915584000.0,0.0862
BBDC3,14.23,6.76,75.22,-0.52,4.29,0.1933,"{'mean_deflacionada': -0.03672794009869399, 'median_deflacionada': 0.004502151106168473, 'mean_normal': 0.012408042237476305, 'median_normal': 0.06266282565521553}",0.278,10592012028.0,406480756000.0,0.0,744101227000.0,-406480756000.0,0.2084
CEBR6,21.9,10.46,,-0.52,,1.009,"{'mean_deflacionada': -0.039461012361783086, 'median_deflacionada': -0.05203238628407236, 'mean_normal': 0.009041751972206616, 'median_normal': -0.006245550541593037}",0.262,72081915.0,,708612000.0,104188000.0,,0.2252
MULT3,26.91,12.11,65.59,-0.55,1.44,0.6968,"{'mean_deflacionada': 0.19804538347076886, 'median_deflacionada': 0.19608590417974137, 'mean_normal': 0.2593759250781273, 'median_normal': 0.253856853351623}",0.125,513163701.0,5430932000.0,1191613000.0,436137000.0,1435100000.0,0.0705
PCAR3,3.12,1.36,5674.76,-0.56,1817.83,0.033,"{'mean_deflacionada': -0.01715085682777469, 'median_deflacionada': 0.00460198302782322, 'mean_normal': 0.048162075047168, 'median_normal': 0.0627684378451343}",0.006,490177018.0,9574000000.0,3748000000.0,3862000000.0,7754000000.0,37.9606
BSLI3,8.28,3.68,22.06,-0.56,1.66,0.1013,"{'mean_deflacionada': 0.03921694480864021, 'median_deflacionada': -0.00486405943463919, 'mean_normal': 0.09154819954340025, 'median_normal': 0.04320100649466774}",0.446,400384637.0,2687150000.0,0.0,8261707000.0,-2687150000.0,0.2104
USIM3,4.38,1.87,1.19,-0.57,-0.73,0.0931,"{'mean_deflacionada': -0.12791196545145708, 'median_deflacionada': -0.10711528643209112, 'mean_normal': -0.0834483197193407, 'median_normal': -0.06398895476676103}",0.14,1253079108.0,7757953000.0,5953981000.0,3230271000.0,5430149000.0,0.2438
BBDC4,16.56,6.86,75.42,-0.59,3.55,0.1933,"{'mean_deflacionada': -0.03672794009869399, 'median_deflacionada': 0.004502151106168473, 'mean_normal': 0.012408042237476305, 'median_normal': 0.06266282565521553}",0.268,10592012028.0,406480756000.0,0.0,744101227000.0,-406480756000.0,0.2084
FLRY3,12.9,5.13,31.85,-0.6,1.47,0.1748,"{'mean_deflacionada': 0.20269617075896326, 'median_deflacionada': 0.13286375572759068, 'mean_normal': 0.263302304862086, 'median_normal': 0.1875810751292335}",0.159,547191026.0,5391562000.0,2341743000.0,6689284000.0,2296017000.0,0.1284
DXCO3,5.66,2.25,7.94,-0.6,0.4,0.1596,"{'mean_deflacionada': -0.04087864866735128, 'median_deflacionada': -0.018123632291227265, 'mean_normal': 0.00800680845417756, 'median_normal': 0.03872700939911078}",0.079,820566246.0,7252994000.0,1753720000.0,2816535000.0,3696021000.0,0.132
BMKS3,400.0,161.82,316.11,-0.6,-0.21,1.4342,"{'mean_deflacionada': -0.094372033726781, 'median_deflacionada': -0.09679872587703431, 'mean_normal': -0.048029709269545494, 'median_normal': -0.05317410433689507}",1.698,454750.0,4244000.0,164596000.0,0.0,25751000.0,0.212
BMOB3,22.62,9.06,13.85,-0.6,-0.39,0.1074,"{'mean_deflacionada': 0.5978436811925717, 'median_deflacionada': 0.0926702717566883, 'mean_normal': 0.6835588086191926, 'median_normal': 0.14544624588253652}",0.305,85608392.0,7226000.0,588575000.0,481559000.0,449947000.0,0.3131
IGTI11,22.61,9.0,-1.87,-0.6,-1.08,0.6945,"{'mean_deflacionada': 0.07570374777148836, 'median_deflacionada': 0.08827932188515053, 'mean_normal': 0.13048126438113328, 'median_normal': 0.13855782655624438}",345993366.969,1206361185.0,3436199000.0,1808459000.0,134408000.0,757655000.0,0.0789
EZTC3,13.66,5.17,25.97,-0.62,0.9,0.3453,"{'mean_deflacionada': 0.13473968266120748, 'median_deflacionada': 0.10651410462642263, 'mean_normal': 0.19244209454642003, 'median_normal': 0.17058127128429246}",0.172,220989103.0,1159374000.0,768528000.0,1753515000.0,424034000.0,0.0808
ABEV3,13.39,4.61,9.86,-0.66,-0.26,0.2194,"{'mean_deflacionada': 0.02018042327867675, 'median_deflacionada': 0.034204597514442714, 'mean_normal': 0.07209526843082521, 'median_normal': 0.09408504371052917}",0.205,15761638756.0,3452700000.0,29837700000.0,80533400000.0,59475100000.0,0.0408
SLCE3,18.16,6.12,4.48,-0.66,-0.75,0.2393,"{'mean_deflacionada': 0.05158431806109576, 'median_deflacionada': -0.08394856518484783, 'mean_normal': 0.1062871004466062, 'median_normal': -0.04162698889638783}",0.151,443329716.0,8665451000.0,1979575000.0,7000546000.0,4804349000.0,0.1666
ELET6,44.45,14.55,69.52,-0.67,0.56,0.3184,"{'mean_deflacionada': 0.0013584767231922996, 'median_deflacionada': 0.03152124885130769, 'mean_normal': 0.05197101933273492, 'median_normal': 0.08134372517082578}",0.152,2307099811.0,78235616000.0,35524360000.0,199824499000.0,89635938000.0,0.0864
AURE3,9.52,3.07,55.4,-0.68,4.82,0.3452,"{'mean_deflacionada': 0.4339680944712885, 'median_deflacionada': 0.2437283753197037, 'mean_normal': 0.5088369007604208, 'median_normal': 0.30380045584764526}",0.07,1050377974.0,27215299000.0,7203178000.0,9429019000.0,11055464000.0,0.1953
HYPE3,27.7,8.83,18.98,-0.68,-0.31,0.3374,"{'mean_deflacionada': 0.03364454172859832, 'median_deflacionada': 0.0024903619334692984, 'mean_normal': 0.08671240415131098, 'median_normal': 0.04880541665479554}",0.18,633420823.0,9397367000.0,1739327000.0,12421997000.0,3059897000.0,0.0131
MRVE3,6.17,1.85,-20.65,-0.7,-4.35,0.0554,"{'mean_deflacionada': 0.03593683146669313, 'median_deflacionada': 0.06869928334868614, 'mean_normal': 0.08804830816123958, 'median_normal': 0.11807319023939522}",0.125,562826671.0,9780618000.0,3739178000.0,5277013000.0,12179646000.0,0.566
POSI3,4.58,1.33,-2.29,-0.71,-1.5,0.1212,"{'mean_deflacionada': -0.03154451172452307, 'median_deflacionada': -0.085043416123734, 'mean_normal': 0.018656753696258372, 'median_normal': -0.04085101312251049}",0.178,141800000.0,1318010000.0,566929000.0,407414000.0,1502856000.0,0.0106
AZEV3,0.49,0.14,-0.52,-0.71,-2.06,-0.2713,"{'mean_deflacionada': 1.0445849519961068, 'median_deflacionada': 0.06858899008746677, 'mean_normal': 1.1577207168988204, 'median_normal': 0.11795780142950774}",0.598,592753731.0,109446000.0,3151000.0,311666000.0,442406000.0,0.4388
VIVT3,32.14,9.06,78.96,-0.72,1.46,0.1246,"{'mean_deflacionada': 0.03013790692198522, 'median_deflacionada': 0.03132234628343511, 'mean_normal': 0.08246818007223126, 'median_normal': 0.08448981729459426}",0.172,3261287392.0,20746530000.0,6691098000.0,235637230000.0,34394648000.0,0.1494
AZZA3,40.51,11.12,131.7,-0.73,2.25,0.1241,"{'mean_deflacionada': 0.3707596866005993, 'median_deflacionada': 0.368757331313746, 'mean_normal': 0.4405814310751213, 'median_normal': 0.4480083807968118}",0.147,206489813.0,3530401000.0,774543000.0,5296188000.0,4001629000.0,0.1097
MGLU3,9.05,2.31,-16.93,-0.74,-2.87,0.0016,"{'mean_deflacionada': -0.023824643551360308, 'median_deflacionada': -0.013127385131217029, 'mean_normal': 0.025863195581500225, 'median_normal': 0.034538562166945175}",0.486,738955248.0,8115695000.0,2165091000.0,10841872000.0,17876901000.0,5.9289
ALPA4,8.77,2.16,-1.61,-0.75,-1.18,0.068,"{'mean_deflacionada': -0.03195447123577111, 'median_deflacionada': 0.001121166694550757, 'mean_normal': 0.01740826149167507, 'median_normal': 0.059086082246165184}",0.222,683062222.0,1613284000.0,1488511000.0,-97536000.0,1190062000.0,0.1139
GGBR3,15.09,3.54,21.51,-0.77,0.43,0.176,"{'mean_deflacionada': -0.09285982070964172, 'median_deflacionada': -0.07223264369989069, 'mean_normal': -0.046422578606704214, 'median_normal': -0.027421480390595332}",0.207,2052712549.0,14917153000.0,8276843000.0,35864913000.0,13723554000.0,0.1993
GGBR4,16.73,3.77,22.48,-0.77,0.34,0.176,"{'mean_deflacionada': -0.09285982070964172, 'median_deflacionada': -0.07223264369989069, 'mean_normal': -0.046422578606704214, 'median_normal': -0.027421480390595332}",0.193,2052712549.0,14917153000.0,8276843000.0,35864913000.0,13723554000.0,0.1993
FRIO3,220.0,51.14,-101.27,-0.77,-1.46,0.0566,"{'mean_deflacionada': -0.024788426748736676, 'median_deflacionada': -0.05549064199966691, 'mean_normal': 0.024595059628254295, 'median_normal': -0.01185430966005152}",0.147,6286293.0,898291000.0,237438000.0,298522000.0,647486000.0,0.2665
CSMG3,28.17,6.09,43.14,-0.78,0.53,0.2411,"{'mean_deflacionada': 0.0504171037469224, 'median_deflacionada': 0.014944001198506474, 'mean_normal': 0.10351983691247013, 'median_normal': 0.06396579645639422}",0.139,380253069.0,6192523000.0,827808000.0,6184878000.0,1271037000.0,0.1607
TOTS3,41.81,9.31,17.68,-0.78,-0.58,0.2027,"{'mean_deflacionada': 0.14849770694964803, 'median_deflacionada': 0.12225581612571901, 'mean_normal': 0.20704034084959155, 'median_normal': 0.17646077204459099}",0.214,599401581.0,1661549000.0,1942162000.0,4760289000.0,1883051000.0,0.1532
RADL3,14.78,3.22,3.45,-0.78,-0.77,0.0574,"{'mean_deflacionada': 0.11575162269881356, 'median_deflacionada': 0.11718062200702728, 'mean_normal': 0.17250464734685544, 'median_normal': 0.16879436674375192}",0.145,1718007200.0,7695215000.0,543708000.0,2468510000.0,8004280000.0,0.0972
BMIN3,20.0,4.41,-70.04,-0.78,-4.5,0.2823,"{'mean_deflacionada': 0.23044278650519598, 'median_deflacionada': 0.0413344838259162, 'mean_normal': 0.29501977712926125, 'median_normal': 0.09163093939470812}",0.831,4825200.0,143188000.0,9628000.0,0.0,209032000.0,0.3899
FESA4,6.88,1.46,4.61,-0.79,-0.33,0.2457,"{'mean_deflacionada': -0.046838857374086364, 'median_deflacionada': -0.12380678497635533, 'mean_normal': 0.002653480242078269, 'median_normal': -0.0814866526907132}",0.239,340386800.0,263844000.0,846746000.0,691877000.0,783263000.0,0.0816
LREN3,19.05,3.78,5.55,-0.8,-0.71,0.1046,"{'mean_deflacionada': 0.05955534228184841, 'median_deflacionada': 0.009039318568725863, 'mean_normal': 0.11384107809575787, 'median_normal': 0.05777591765559542}",0.192,1059549692.0,3576911000.0,2771307000.0,4040932000.0,6014728000.0,0.048
SMFT3,23.14,4.43,41.3,-0.81,0.78,0.2416,"{'mean_deflacionada': 0.42050169997947334, 'median_deflacionada': 0.3845356660406458, 'mean_normal': 0.49333604368759004, 'median_normal': 0.4485012138117237}",0.164,597250053.0,11315226000.0,2947375000.0,2874199000.0,1563297000.0,0.0366
KLBN4,3.81,0.71,1.56,-0.81,-0.59,0.3356,"{'mean_deflacionada': 0.01622690726080822, 'median_deflacionada': 0.03974574761883165, 'mean_normal': 0.06838531673378712, 'median_normal': 0.08996546722882126}",0.122,6179682031.0,41562440000.0,7530208000.0,10540913000.0,9191192000.0,0.1712
ALPA3,8.6,1.63,-1.64,-0.81,-1.19,0.068,"{'mean_deflacionada': -0.03195447123577111, 'median_deflacionada': 0.001121166694550757, 'mean_normal': 0.01740826149167507, 'median_normal': 0.059086082246165184}",0.239,683062222.0,1613284000.0,1488511000.0,-97536000.0,1190062000.0,0.1139
MDIA3,24.84,3.93,20.09,-0.84,-0.19,0.0853,"{'mean_deflacionada': 0.03286253640017467, 'median_deflacionada': 0.022940618204730256, 'mean_normal': 0.08595480994591494, 'median_normal': 0.07020047476578872}",0.154,339000000.0,2446079000.0,2176139000.0,2925352000.0,2324845000.0,0.1091
PETR4,31.95,5.14,12.78,-0.84,-0.6,0.3882,"{'mean_deflacionada': 0.01307587898219679, 'median_deflacionada': -0.14847284278033313, 'mean_normal': 0.06594111658161954, 'median_normal': -0.1073440810866233}",0.108,12888732761.0,60311000000.0,7534000000.0,141087000000.0,61984000000.0,0.2574
ITUB3,33.23,4.7,113.64,-0.86,2.42,0.2845,"{'mean_deflacionada': 0.03815124832422782, 'median_deflacionada': 0.03997452946920843, 'mean_normal': 0.09094215007417406, 'median_normal': 0.08802135273068568}",0.226,10784548882.0,516840000000.0,0.0,1046799000000.0,-516840000000.0,0.1613
DIRR3,40.48,5.48,39.77,-0.86,-0.02,0.2281,"{'mean_deflacionada': 0.18266264091610385, 'median_deflacionada': 0.1507975265317929, 'mean_normal': 0.2427391324484008, 'median_normal': 0.2174287033179838}",0.17,173500000.0,1688926000.0,1615181000.0,4427391000.0,6154729000.0,0.0905
HAPV3,34.57,4.86,8.0,-0.86,-0.77,0.0588,"{'mean_deflacionada': 0.46105539345694974, 'median_deflacionada': 0.12491248445921244, 'mean_normal': 0.5381053729513576, 'median_normal': 0.17688344124122812}",0.239,7539463263.0,16519683000.0,8774375000.0,55678621000.0,8303040000.0,0.0794
ITSA4,10.96,1.46,6.38,-0.87,-0.42,1.9867,"{'mean_deflacionada': -0.04085333741432599, 'median_deflacionada': -0.018169873735442543, 'mean_normal': 0.008033181928543595, 'median_normal': 0.03867809057527549}",0.192,10893218777.0,11410000000.0,6962000000.0,2681000000.0,8218000000.0,0.0162
CSAN3,6.92,0.85,-10.19,-0.88,-2.47,0.2395,"{'mean_deflacionada': 0.1487249992047834, 'median_deflacionada': 0.0622580656154863, 'mean_normal': 0.2080953608169358, 'median_normal': 0.11356513018471426}",0.163,1866570932.0,72965179000.0,20399105000.0,78482857000.0,28902361000.0,0.8518
ANIM3,4.27,0.46,14.7,-0.89,2.44,0.1278,"{'mean_deflacionada': 0.08113883854929867, 'median_deflacionada': 0.00136478793377659, 'mean_normal': 0.13672292827034171, 'median_normal': 0.047627841136316906}",0.193,403868805.0,5309792000.0,1251981000.0,7849447000.0,1598847000.0,0.3
BSLI4,8.9,1.02,22.11,-0.89,1.48,0.1013,"{'mean_deflacionada': 0.03921694480864021, 'median_deflacionada': -0.00486405943463919, 'mean_normal': 0.09154819954340025, 'median_normal': 0.04320100649466774}",0.43,400384637.0,2687150000.0,0.0,8261707000.0,-2687150000.0,0.2104
SMTO3,17.32,1.98,12.91,-0.89,-0.25,0.3624,"{'mean_normal': 0.0792515936650063, 'median_normal': 0.039859580425151586}",0.168,332435391.0,10919914000.0,3083031000.0,11410544000.0,4150107000.0,0.1268
FESA3,11.85,1.35,6.89,-0.89,-0.42,0.2457,"{'mean_deflacionada': -0.046838857374086364, 'median_deflacionada': -0.12380678497635533, 'mean_normal': 0.002653480242078269, 'median_normal': -0.0814866526907132}",0.13,340386800.0,263844000.0,846746000.0,691877000.0,783263000.0,0.0816
KLBN3,3.9,0.42,1.7,-0.89,-0.56,0.3356,"{'mean_deflacionada': 0.01622690726080822, 'median_deflacionada': 0.03974574761883165, 'mean_normal': 0.06838531673378712, 'median_normal': 0.08996546722882126}",0.12,6179682031.0,41562440000.0,7530208000.0,10540913000.0,9191192000.0,0.1712
