acao,valor_atual,preco_gordon,preco_fluxo,diferenca_gordon,diferenca_fluxo,margem_ebit,variacao_receita,wacc,quantidade_acoes,divida_total,caixa,outros_ativos,passivos_menos_divida,percentual_imposto
LWSA3,3.8,0.38,3.24,-0.9,-0.15,0.0389,"{'mean_deflacionada': 0.14682681893694852, 'median_deflacionada': 0.0883194708151478, 'mean_normal': 0.20574861411064763, 'median_normal': 0.13859983036680745}",0.221,562886478.0,74427000.0,447378000.0,2362511000.0,1190352000.0,0.4115
IGTI3,2.79,0.29,1.56,-0.9,-0.44,0.6945,"{'mean_deflacionada': 0.07570374777148836, 'median_deflacionada': 0.08827932188515053, 'mean_normal': 0.13048126438113328, 'median_normal': 0.13855782655624438}",0.263,1206361185.0,3436199000.0,1808459000.0,134408000.0,757655000.0,0.0789
PETR3,35.01,3.6,13.27,-0.9,-0.62,0.3882,"{'mean_deflacionada': 0.01307587898219679, 'median_deflacionada': -0.14847284278033313, 'mean_normal': 0.06594111658161954, 'median_normal': -0.1073440810866233}",0.103,12888732761.0,60311000000.0,7534000000.0,141087000000.0,61984000000.0,0.2574
FRAS3,26.96,2.52,21.59,-0.91,-0.2,0.1439,"{'mean_deflacionada': 0.09834833502179292, 'median_deflacionada': 0.11638754501872373, 'mean_normal': 0.154239638777855, 'median_normal': 0.17030906344312813}",0.136,270016343.0,1283441000.0,1394355000.0,831129000.0,1334688000.0,0.1716
ITSA3,10.98,0.99,6.38,-0.91,-0.42,1.9867,"{'mean_deflacionada': -0.04085333741432599, 'median_deflacionada': -0.018169873735442543, 'mean_normal': 0.008033181928543595, 'median_normal': 0.03867809057527549}",0.192,10893218777.0,11410000000.0,6962000000.0,2681000000.0,8218000000.0,0.0162
AALR3,4.04,0.35,-2.97,-0.91,-1.74,0.0353,"{'mean_deflacionada': -0.024760640076943192, 'median_deflacionada': -0.01582287985550479, 'mean_normal': 0.024503643050425072, 'median_normal': 0.03171287504747444}",0.245,152359482.0,951062000.0,145696000.0,1014360000.0,801343000.0,0.2578
JBSS3,75.3,4.92,72.16,-0.93,-0.04,0.0619,"{'mean_deflacionada': 0.056052878531185124, 'median_deflacionada': 0.0012602993284467345, 'mean_normal': 0.10964759647373364, 'median_normal': 0.059233270659563964}",0.11,2218116370.0,123281258387.1,34697545264.8,62782034363.399994,77913273141.0,0.1706
NTCO3,10.8,0.72,1.1,-0.93,-0.9,0.0093,"{'mean_deflacionada': -0.10744491388239952, 'median_deflacionada': -0.1297466383673057, 'mean_normal': -0.06200373271703996, 'median_normal': -0.07935896872877268}",0.087,1390615155.0,8173006000.0,4458126000.0,15476540000.0,13288830000.0,1.3372
MRFG3,23.36,1.54,-64.37,-0.93,-3.76,0.0458,"{'mean_deflacionada': 0.15664286399559546, 'median_deflacionada': 0.07400081358073507, 'mean_normal': 0.21624432904633353, 'median_normal': 0.12587505287668455}",0.535,857928119.0,66279640000.0,22519515000.0,22048384000.0,51292387000.0,0.2119
PETZ3,3.81,0.24,6.07,-0.94,0.59,0.0568,"{'mean_deflacionada': 0.1154308600952294, 'median_deflacionada': 0.07005678176876473, 'mean_normal': 0.1726448376469317, 'median_normal': 0.11949340508648154}",0.172,462523502.0,1485045000.0,358503000.0,3227131000.0,748728000.0,0.1121
RENT3,38.38,2.09,788.56,-0.95,19.55,0.2749,"{'mean_deflacionada': 0.44188186233751, 'median_deflacionada': 0.5420361575261881, 'mean_normal': 0.5153718538146629, 'median_normal': 0.6252241394977656}",0.162,1053751188.0,46103151000.0,11425562000.0,11899515000.0,14797742000.0,0.0579
SUZB3,51.3,1.89,124.13,-0.96,1.42,0.4312,"{'mean_deflacionada': 0.016615670850368636, 'median_deflacionada': 0.13743028209150143, 'mean_normal': 0.06886388764048756, 'median_normal': 0.19236816471652096}",0.1,1264117615.0,108408446000.0,21990365000.0,61271616000.0,25112084000.0,0.1685
EQTL3,35.31,0.7,161.9,-0.98,3.59,0.1994,"{'mean_deflacionada': 0.17736957721772026, 'median_deflacionada': 0.04961698237422474, 'mean_normal': 0.23658758366296237, 'median_normal': 0.11038980565369227}",0.121,1253847835.0,55930933000.0,13037743000.0,33416543000.0,30593572000.0,0.0218
AMBP3,156.3,1.32,58.88,-0.99,-0.62,0.2103,"{'mean_deflacionada': 0.45131889302844036, 'median_deflacionada': 0.2555994980256715, 'mean_normal': 0.5265393661325499, 'median_normal': 0.31624495378031137}",0.257,167041869.0,8998695000.0,3869706000.0,5725350000.0,2924023000.0,0.1258
RAIL3,18.32,0.19,-4.12,-0.99,-1.22,0.37,"{'mean_deflacionada': 0.17606934002534258, 'median_deflacionada': 0.21545261311012243, 'mean_normal': 0.23613130691988107, 'median_normal': 0.27415897432334146}",0.482,1854868949.0,26876598000.0,8274413000.0,9561074000.0,8781270000.0,0.0493
CSNA3,8.11,-0.11,-21.46,-1.01,-3.65,0.1384,"{'mean_deflacionada': -0.07619080196330263, 'median_deflacionada': -0.08282442566160764, 'mean_normal': -0.029455390618998527, 'median_normal': -0.03852484542106327}",0.17,1326093947.0,57754926000.0,24224522000.0,21588263000.0,30692612000.0,0.2397
WEGE3,42.29,-1.62,13.47,-1.04,-0.68,0.1967,"{'mean_deflacionada': 0.11780677210918895, 'median_deflacionada': 0.11485210526163336, 'mean_normal': 0.17490851718758638, 'median_normal': 0.16869946194577023}",0.171,4197317998.0,4418355000.0,7996076000.0,13666782000.0,13946129000.0,0.1579
EALT3,14.75,-0.63,-10.17,-1.04,-1.69,0.1256,"{'mean_deflacionada': 0.08403611666655708, 'median_deflacionada': 0.08630209404376821, 'mean_normal': 0.1395725727781815, 'median_normal': 0.13877048518608226}",0.148,22500000.0,120942000.0,12904000.0,44748000.0,202193000.0,0.1086
SBSP3,115.99,-6.24,225.31,-1.05,0.94,0.245,"{'mean_deflacionada': 0.17540945737101618, 'median_deflacionada': 0.10822946156631263, 'mean_normal': 0.23482884917579935, 'median_normal': 0.15942966269067615}",0.137,683509869.0,25258297000.0,5382300000.0,64701504000.0,18779079000.0,0.2155
EALT4,14.54,-0.67,-10.28,-1.05,-1.71,0.1256,"{'mean_deflacionada': 0.08403611666655708, 'median_deflacionada': 0.08630209404376821, 'mean_normal': 0.1395725727781815, 'median_normal': 0.13877048518608226}",0.157,22500000.0,120942000.0,12904000.0,44748000.0,202193000.0,0.1086
EMBR3,82.73,-7.27,-0.49,-1.09,-1.01,0.0662,"{'mean_deflacionada': 0.09650631246167185, 'median_deflacionada': 0.10911902186636624, 'mean_normal': 0.15196338382500074, 'median_normal': 0.16036032067659245}",0.23,740465044.0,2602900000.0,2202700000.0,4780800000.0,5876800000.0,0.2622
CEDO3,24.23,-2.35,-20.92,-1.1,-1.86,0.0939,"{'mean_deflacionada': -0.009603557429786394, 'median_deflacionada': -0.11334647830957578, 'mean_normal': 0.04151605615112371, 'median_normal': -0.07052111321192822}",0.187,10000000.0,400546000.0,15396000.0,125639000.0,232931000.0,0.0718
BAUH4,82.0,-9.16,,-1.11,,0.0706,"{'mean_deflacionada': 0.06758999919381996, 'median_deflacionada': 0.06026933983806537, 'mean_normal': 0.121693810421667, 'median_normal': 0.11148034895224401}",0.091,,1394000.0,35468000.0,45655000.0,57450000.0,0.7482
BMEB3,33.0,-3.83,67.97,-1.12,1.06,0.106,"{'mean_deflacionada': 0.1489668914944061, 'median_deflacionada': 0.1692288367463437, 'mean_normal': 0.2070391625365975, 'median_normal': 0.22324720900402473}",0.436,104831580.0,4373610000.0,0.0,5613032000.0,-4373610000.0,0.1978
BPAC11,41.86,-4.93,26.96,-1.12,-0.36,0.4553,"{'mean_deflacionada': 0.26477978191773693, 'median_deflacionada': 0.11829904298940175, 'mean_normal': 0.33034545905704005, 'median_normal': 0.1723128867657897}",0.283,11506119928.0,42279088000.0,0.0,227741700000.0,-42279088000.0,0.1333
BPAC3,23.44,-3.1,22.74,-1.13,-0.03,0.4553,"{'mean_deflacionada': 0.26477978191773693, 'median_deflacionada': 0.11829904298940175, 'mean_normal': 0.33034545905704005, 'median_normal': 0.1723128867657897}",0.601,11506119928.0,42279088000.0,0.0,227741700000.0,-42279088000.0,0.1333
CGAS3,126.0,-16.36,79.74,-1.13,-0.37,0.2019,"{'mean_deflacionada': 0.06548508889990261, 'median_deflacionada': -0.02817000308543749, 'mean_normal': 0.12074272673270332, 'median_normal': 0.018769385765535995}",0.124,132520587.0,9825090000.0,3210665000.0,8229600000.0,4632540000.0,0.1724
BMEB4,39.13,-5.44,70.56,-1.14,0.8,0.106,"{'mean_deflacionada': 0.1489668914944061, 'median_deflacionada': 0.1692288367463437, 'mean_normal': 0.2070391625365975, 'median_normal': 0.22324720900402473}",0.382,104831580.0,4373610000.0,0.0,5613032000.0,-4373610000.0,0.1978
ENGI11,47.57,-7.53,29.83,-1.16,-0.37,0.2239,"{'mean_deflacionada': 0.028379109951808774, 'median_deflacionada': 0.043187900728627326, 'mean_normal': 0.08026067890003134, 'median_normal': 0.09138318174228965}",0.05,2289424663.0,35247233000.0,8770925000.0,21321606000.0,19791198000.0,0.1276
CEDO4,17.5,-2.76,-24.63,-1.16,-2.41,0.0939,"{'mean_deflacionada': -0.009603557429786394, 'median_deflacionada': -0.11334647830957578, 'mean_normal': 0.04151605615112371, 'median_normal': -0.07052111321192822}",0.219,10000000.0,400546000.0,15396000.0,125639000.0,232931000.0,0.0718
LIGT3,6.57,-1.19,-12.55,-1.18,-2.91,0.0773,"{'mean_deflacionada': -0.045233847497269, 'median_deflacionada': -0.005684057890227856, 'mean_normal': 0.0029304643225292284, 'median_normal': 0.0423414021136741}",0.121,504323034.0,9781557000.0,3089522000.0,5596974000.0,10343647000.0,0.1979
CGAS5,130.01,-31.26,83.43,-1.24,-0.36,0.2019,"{'mean_deflacionada': 0.06548508889990261, 'median_deflacionada': -0.02817000308543749, 'mean_normal': 0.12074272673270332, 'median_normal': 0.018769385765535995}",0.12,132520587.0,9825090000.0,3210665000.0,8229600000.0,4632540000.0,0.1724
CYRE3,25.55,-7.35,34.54,-1.29,0.35,0.2683,"{'mean_deflacionada': 0.1291370047349453, 'median_deflacionada': 0.10426001532871809, 'mean_normal': 0.18631858247276809, 'median_normal': 0.1552768280369048}",0.159,384000000.0,5974580000.0,3052594000.0,2395095000.0,5317108000.0,0.0803
BRFS3,20.91,-6.12,-6.26,-1.29,-1.3,0.0469,"{'mean_deflacionada': 0.032196942235575045, 'median_deflacionada': 0.052063386914266374, 'mean_normal': 0.0847519268616463, 'median_normal': 0.11297785701660246}",0.208,1682473246.0,24733479000.0,12059444000.0,10402397000.0,21442393000.0,0.4153
BPAC5,9.21,-3.15,21.23,-1.34,1.31,0.4553,"{'mean_deflacionada': 0.26477978191773693, 'median_deflacionada': 0.11829904298940175, 'mean_normal': 0.33034545905704005, 'median_normal': 0.1723128867657897}",1.136,11506119928.0,42279088000.0,0.0,227741700000.0,-42279088000.0,0.1333
BALM4,16.39,-6.13,1.95,-1.37,-0.88,0.1081,"{'mean_deflacionada': -0.11350819108886585, 'median_deflacionada': -0.012756228185485163, 'mean_normal': -0.0695220351942677, 'median_normal': 0.03285443407234534}",0.473,9784510.0,16725000.0,76827000.0,23135000.0,95401000.0,0.2267
ASAI3,10.23,-5.29,-5.03,-1.52,-1.49,0.0518,"{'mean_deflacionada': 0.15160943149520398, 'median_deflacionada': 0.16592516002784352, 'mean_normal': 0.21035213566935132, 'median_normal': 0.21979090242112975}",0.141,1352245185.0,26209000000.0,5628000000.0,17280000000.0,14129000000.0,0.0421
TAEE11,34.86,-20.25,17.8,-1.58,-0.49,0.794,"{'mean_deflacionada': -0.001519754782163966, 'median_deflacionada': 0.05532007345176404, 'mean_normal': 0.04812691948342429, 'median_normal': 0.10629203299948431}",0.12,1033496721.0,9799865000.0,750976000.0,417744000.0,3691724000.0,0.0866
ECOR3,7.21,-4.52,-93.23,-1.63,-13.93,0.2693,"{'mean_deflacionada': 0.23041549690546734, 'median_deflacionada': 0.23170256859909455, 'mean_normal': 0.2928096263904671, 'median_normal': 0.3030181473209823}",0.077,696334224.0,20277116000.0,3868611000.0,21659514000.0,5328420000.0,0.2484
PSSA3,55.34,-35.91,51.76,-1.65,-0.06,0.0958,"{'mean_deflacionada': 0.13045484754002126, 'median_deflacionada': 0.038208345155925194, 'mean_normal': 0.18745173679893234, 'median_normal': 0.09832060834045331}",0.288,646586060.0,576394000.0,2191494000.0,22874862000.0,-576394000.0,0.2054
EGIE3,44.26,-28.75,-10.45,-1.65,-1.24,0.4941,"{'mean_deflacionada': -0.08133217334341854, 'median_deflacionada': -0.10252474037886772, 'mean_normal': -0.034692565011973965, 'median_normal': -0.050560922846804135}",0.133,815927740.0,24134936000.0,4391072000.0,6327848000.0,13696967000.0,0.1414
CMIG3,15.67,-11.06,22.78,-1.71,0.45,0.1941,"{'mean_deflacionada': 0.007025118506542268, 'median_deflacionada': 0.02204424347156264, 'mean_normal': 0.058047311700997715, 'median_normal': 0.0692626875199489}",0.146,2861781895.0,12709000000.0,3446000000.0,32853000000.0,19635000000.0,0.1494
CAMB3,10.3,-8.1,15.01,-1.79,0.46,0.201,"{'mean_deflacionada': 0.2133894780253716, 'median_deflacionada': -0.0034501627918215316, 'mean_normal': 0.2768470088951562, 'median_normal': 0.042590439687196335}",0.197,41839573.0,3233000.0,43844000.0,47262000.0,84396000.0,0.0359
KLBN11,19.1,-15.24,-0.53,-1.8,-1.03,0.3356,"{'mean_deflacionada': 0.01622690726080822, 'median_deflacionada': 0.03974574761883165, 'mean_normal': 0.06838531673378712, 'median_normal': 0.08996546722882126}",0.168,6179682031.0,41562440000.0,7530208000.0,10540913000.0,9191192000.0,0.1712
ENGI3,11.75,-9.59,2.78,-1.82,-0.76,0.2239,"{'mean_deflacionada': 0.028379109951808774, 'median_deflacionada': 0.043187900728627326, 'mean_normal': 0.08026067890003134, 'median_normal': 0.09138318174228965}",0.119,2289424663.0,35247233000.0,8770925000.0,21321606000.0,19791198000.0,0.1276
TRIS3,6.92,-5.74,13.31,-1.83,0.92,0.2006,"{'mean_deflacionada': 0.1571956619946012, 'median_deflacionada': 0.22734106250444075, 'mean_normal': 0.2151376403087724, 'median_normal': 0.2866216358234053}",0.178,186617538.0,821718000.0,470151000.0,21264000.0,732819000.0,0.134
WIZC3,8.05,-6.73,40.43,-1.84,4.02,0.3281,"{'mean_deflacionada': 0.12690015084895578, 'median_deflacionada': 0.08857589284696443, 'mean_normal': 0.18395415658816683, 'median_normal': 0.15160443704280357}",0.164,159907282.0,357594000.0,27673000.0,1858512000.0,-357594000.0,0.299
RAIZ4,1.69,-1.46,-1.85,-1.86,-2.09,0.025,"{'mean_normal': 0.11331680891846363, 'median_normal': 0.15792037004105874}",0.127,10352509484.0,68416269000.0,22130834000.0,28236487000.0,54407471000.0,0.1849
CEAB3,19.95,-19.77,2.84,-1.99,-0.86,0.0695,"{'mean_deflacionada': 0.08568923489359204, 'median_deflacionada': 0.08414136396322913, 'mean_normal': 0.14103062333292207, 'median_normal': 0.1365053918426531}",0.259,308245068.0,3324889000.0,1572535000.0,1222960000.0,3420522000.0,0.0642
CMIG4,11.15,-12.61,17.66,-2.13,0.58,0.1941,"{'mean_deflacionada': 0.007025118506542268, 'median_deflacionada': 0.02204424347156264, 'mean_normal': 0.058047311700997715, 'median_normal': 0.0692626875199489}",0.187,2861781895.0,12709000000.0,3446000000.0,32853000000.0,19635000000.0,0.1494
ENGI4,8.98,-10.8,1.03,-2.2,-0.89,0.2239,"{'mean_deflacionada': 0.028379109951808774, 'median_deflacionada': 0.043187900728627326, 'mean_normal': 0.08026067890003134, 'median_normal': 0.09138318174228965}",0.134,2289424663.0,35247233000.0,8770925000.0,21321606000.0,19791198000.0,0.1276
BGIP3,34.99,-86.25,128.18,-3.46,2.66,0.1217,"{'mean_deflacionada': 0.009790511536063176, 'median_deflacionada': -0.020907058118624366, 'mean_normal': 0.06099746722407525, 'median_normal': 0.03126705017534093}",0.147,19774698.0,218769000.0,0.0,2115574000.0,-218769000.0,0.3452
BGIP4,28.47,-94.25,128.18,-4.31,3.5,0.1217,"{'mean_deflacionada': 0.009790511536063176, 'median_deflacionada': -0.020907058118624366, 'mean_normal': 0.06099746722407525, 'median_normal': 0.03126705017534093}",0.147,19774698.0,218769000.0,0.0,2115574000.0,-218769000.0,0.3452
JHSF3,5.23,-22.84,-2.23,-5.37,-1.43,0.6252,"{'mean_deflacionada': -0.11301971794673078, 'median_deflacionada': -0.08835255565612743, 'mean_normal': -0.06781199745700224, 'median_normal': -0.035568168628617225}",0.121,681322756.0,4490122000.0,1527674000.0,1094401000.0,2967111000.0,0.0851
TAEE3,11.57,-61.33,5.38,-6.3,-0.54,0.794,"{'mean_deflacionada': -0.001519754782163966, 'median_deflacionada': 0.05532007345176404, 'mean_normal': 0.04812691948342429, 'median_normal': 0.10629203299948431}",0.192,1033496721.0,9799865000.0,750976000.0,417744000.0,3691724000.0,0.0866
TAEE4,11.63,-102.56,5.48,-9.82,-0.53,0.794,"{'mean_deflacionada': -0.001519754782163966, 'median_deflacionada': 0.05532007345176404, 'mean_normal': 0.04812691948342429, 'median_normal': 0.10629203299948431}",0.191,1033496721.0,9799865000.0,750976000.0,417744000.0,3691724000.0,0.0866
IRBR3,45.86,-424.37,158.69,-10.25,2.46,-0.0711,"{'mean_deflacionada': -0.8693518857607957, 'median_deflacionada': -0.8163955800930199, 'mean_normal': -0.8639757431157142, 'median_normal': -0.8075274866115127}",0.147,81842886.0,510747000.0,3720537000.0,9265966000.0,-510747000.0,0.705
BAZA3,74.86,-1725.53,370.94,-24.05,3.96,0.4399,"{'mean_deflacionada': 0.11852537547676974, 'median_deflacionada': 0.013743580183750215, 'mean_normal': 0.176255527919127, 'median_normal': 0.06270739510662526}",1.258,56058315.0,457966000.0,0.0,19825342000.0,-457966000.0,0.3945
AHEB3,35.8,,13551.71,,377.54,0.2199,"{'mean_deflacionada': 1.3548422758569612, 'median_deflacionada': 1.777736939001, 'mean_normal': 1.4753180529095016, 'median_normal': 1.9385679077691584}",0.28,8542778.0,4357000.0,91089000.0,4412000.0,307664000.0,0.1227
ALPK3,3.32,,8.08,,1.43,0.1065,"{'mean_deflacionada': 0.17983680341988384, 'median_deflacionada': 0.16486342296300593, 'mean_normal': 0.24003964119770252, 'median_normal': 0.2186801131038969}",0.332,217024025.0,1462748000.0,217996000.0,2001356000.0,681631000.0,0.0297
ONCO3,4.85,,8.06,,0.66,0.1035,"{'mean_deflacionada': 0.26525035255664503, 'median_deflacionada': 0.28328504679931465, 'mean_normal': 0.3300402883640469, 'median_normal': 0.34257281596144273}",0.184,651756313.0,5478399000.0,1888374000.0,4050717000.0,2341508000.0,0.2031
NUTR3,3.3,,4.17,,0.26,0.096,"{'mean_deflacionada': 0.11100416406244835, 'median_deflacionada': 0.06693946345407809, 'mean_normal': 0.1680984704814185, 'median_normal': 0.11847263953890996}",0.204,13244400.0,14541000.0,1991000.0,16282000.0,47328000.0,0.1679
BRST3,2.82,,2.7,,-0.04,0.2226,"{'mean_deflacionada': 0.10924525145071429, 'median_deflacionada': 0.10924525145071429, 'mean_normal': 0.1628217970957837, 'median_normal': 0.1628217970957837}",0.159,438007537.0,1981443000.0,618046000.0,3444798000.0,523917000.0,0.046
ENEV3,13.72,,4.45,,-0.68,0.2224,"{'mean_deflacionada': 0.26027066073250404, 'median_deflacionada': 0.1304995011435066, 'mean_normal': 0.3236576620523048, 'median_normal': 0.19595542225971574}",0.102,1932591767.0,22163006000.0,3866312000.0,15456407000.0,10393007000.0,0.1193
BIOM3,7.58,,-3.45,,-1.46,-0.5916,"{'mean_deflacionada': 0.05206623129239074, 'median_deflacionada': 0.07641990444497915, 'mean_normal': 0.10509206351868487, 'median_normal': 0.126150504030337}",0.238,126841532.0,121383000.0,143440000.0,67314000.0,81492000.0,0.008
PRIO3,41.83,,-70.56,,-2.69,0.5434,"{'mean_deflacionada': 0.4357482709673868, 'median_deflacionada': 0.3683328237114125, 'mean_normal': 0.5082218209268486, 'median_normal': 0.4475592942043034}",0.188,821287631.0,20950434000.0,3993359000.0,21089517000.0,8871539000.0,0.0942
AVLL3,1.7,,-54.43,,-33.02,-0.7374,"{'mean_deflacionada': 0.39271128232567043, 'median_deflacionada': 0.3529823330759554, 'mean_normal': 0.4622904646680044, 'median_normal': 0.41833137976352397}",0.176,195330061.0,622929000.0,220103000.0,672342000.0,773721000.0,0.1395
AGXY3,6.01,,-213.72,,-36.56,0.0727,"{'mean_deflacionada': -0.030566730054328046, 'median_deflacionada': -0.22501394041717804, 'mean_normal': 0.02104304392825629, 'median_normal': -0.18920958446445157}",0.559,16743193.0,2159147000.0,475542000.0,1058487000.0,3225253000.0,0.0358
GOLL4,0.21,,-11.47,,-55.62,-0.2939,"{'mean_deflacionada': 0.3911368998245035, 'median_deflacionada': 0.1806889423680984, 'mean_normal': 0.4821659524538718, 'median_normal': 0.2352367715055046}",54.613,3202276835.0,20024964000.0,639829000.0,2553709000.0,19868344000.0,0.04
AZUL4,0.91,,-61.12,,-68.16,0.0223,"{'mean_deflacionada': 0.20904236274709062, 'median_deflacionada': 0.11205107158958394, 'mean_normal': 0.2714964780078312, 'median_normal': 0.16342783109702252}",0.146,444183180.0,37542632000.0,1281907000.0,8016778000.0,19167581000.0,0.0134
BRAV3,17.72,,-4933.64,,-279.42,0.2217,"{'mean_deflacionada': 1.279013090360879, 'median_deflacionada': 1.2370901845753908, 'mean_normal': 1.3940649830847471, 'median_normal': 1.3666177062623057}",0.115,464180812.0,23481486000.0,5650687000.0,18014481000.0,10458590000.0,0.1286
CASH3,6.86,,,,,-0.1437,"{'mean_deflacionada': 0.06325808190098943, 'median_deflacionada': 0.06617167989269634, 'mean_normal': 0.11760587954487527, 'median_normal': 0.11766777203151357}",,87169265.0,226000.0,270796000.0,114683000.0,137098000.0,0.3331
